"model_type","ppi_type","design","n","delta","emp_power","mc_se"
"glm_correct","PPI","PPI_crossfit",50,0,0.036,0.0083311463797007
"glm_correct","PPI","PPI_crossfit",50,0,0.036,0.0083311463797007
"glm_correct","PPI","PPI_crossfit",50,0,0.036,0.0083311463797007
"glm_correct","PPI","PPI_crossfit",50,0.05,0.066,0.0111035129576184
"glm_correct","PPI","PPI_crossfit",50,0.05,0.066,0.0111035129576184
"glm_correct","PPI","PPI_crossfit",50,0.05,0.066,0.0111035129576184
"glm_correct","PPI","PPI_crossfit",50,0.1,0.086,0.0125382614424808
"glm_correct","PPI","PPI_crossfit",50,0.1,0.086,0.0125382614424808
"glm_correct","PPI","PPI_crossfit",50,0.1,0.086,0.0125382614424808
"glm_correct","PPI","PPI_crossfit",50,0.15,0.118,0.0144274737913468
"glm_correct","PPI","PPI_crossfit",50,0.15,0.118,0.0144274737913468
"glm_correct","PPI","PPI_crossfit",50,0.15,0.118,0.0144274737913468
"glm_correct","PPI","PPI_crossfit",50,0.2,0.162,0.016477621187538
"glm_correct","PPI","PPI_crossfit",50,0.2,0.162,0.016477621187538
"glm_correct","PPI","PPI_crossfit",50,0.2,0.162,0.016477621187538
"glm_correct","PPI","PPI_crossfit",50,0.25,0.248,0.0193130008025682
"glm_correct","PPI","PPI_crossfit",50,0.25,0.248,0.0193130008025682
"glm_correct","PPI","PPI_crossfit",50,0.25,0.248,0.0193130008025682
"glm_correct","PPI","PPI_crossfit",50,0.3,0.35,0.0213307290077015
"glm_correct","PPI","PPI_crossfit",50,0.3,0.35,0.0213307290077015
"glm_correct","PPI","PPI_crossfit",50,0.3,0.35,0.0213307290077015
"glm_correct","PPI","PPI_crossfit",50,0.35,0.43,0.0221404606998138
"glm_correct","PPI","PPI_crossfit",50,0.35,0.43,0.0221404606998138
"glm_correct","PPI","PPI_crossfit",50,0.35,0.43,0.0221404606998138
"glm_correct","PPI","PPI_crossfit",50,0.4,0.55,0.022248595461287
"glm_correct","PPI","PPI_crossfit",50,0.4,0.55,0.022248595461287
"glm_correct","PPI","PPI_crossfit",50,0.4,0.55,0.022248595461287
"glm_correct","PPI","PPI_crossfit",50,0.45,0.65,0.0213307290077015
"glm_correct","PPI","PPI_crossfit",50,0.45,0.65,0.0213307290077015
"glm_correct","PPI","PPI_crossfit",50,0.45,0.65,0.0213307290077015
"glm_correct","PPI","PPI_crossfit",50,0.5,0.756,0.0192074985357282
"glm_correct","PPI","PPI_crossfit",50,0.5,0.756,0.0192074985357282
"glm_correct","PPI","PPI_crossfit",50,0.5,0.756,0.0192074985357282
"glm_correct","PPI","PPI_crossfit",50,0.55,0.826,0.0169542914921267
"glm_correct","PPI","PPI_crossfit",50,0.55,0.826,0.0169542914921267
"glm_correct","PPI","PPI_crossfit",50,0.55,0.826,0.0169542914921267
"glm_correct","PPI","PPI_crossfit",50,0.6,0.878,0.0146366662871024
"glm_correct","PPI","PPI_crossfit",50,0.6,0.878,0.0146366662871024
"glm_correct","PPI","PPI_crossfit",50,0.6,0.878,0.0146366662871024
"glm_correct","PPI","PPI_crossfit",100,0,0.036,0.0083311463797007
"glm_correct","PPI","PPI_crossfit",100,0,0.036,0.0083311463797007
"glm_correct","PPI","PPI_crossfit",100,0,0.036,0.0083311463797007
"glm_correct","PPI","PPI_crossfit",100,0.05,0.05,0.00974679434480896
"glm_correct","PPI","PPI_crossfit",100,0.05,0.05,0.00974679434480896
"glm_correct","PPI","PPI_crossfit",100,0.05,0.05,0.00974679434480896
"glm_correct","PPI","PPI_crossfit",100,0.1,0.094,0.0130509769749241
"glm_correct","PPI","PPI_crossfit",100,0.1,0.094,0.0130509769749241
"glm_correct","PPI","PPI_crossfit",100,0.1,0.094,0.0130509769749241
"glm_correct","PPI","PPI_crossfit",100,0.15,0.208,0.0181513635851415
"glm_correct","PPI","PPI_crossfit",100,0.15,0.208,0.0181513635851415
"glm_correct","PPI","PPI_crossfit",100,0.15,0.208,0.0181513635851415
"glm_correct","PPI","PPI_crossfit",100,0.2,0.316,0.020791536739741
"glm_correct","PPI","PPI_crossfit",100,0.2,0.316,0.020791536739741
"glm_correct","PPI","PPI_crossfit",100,0.2,0.316,0.020791536739741
"glm_correct","PPI","PPI_crossfit",100,0.25,0.432,0.0221529230576915
